150 0 0 0 0 0 0 0 0 0 0 0
150 0 0 0 0 0 0 0 0 0 0 0
150 0 0 0 0 0 0 0 0 0 0 0
150 0 0 0 0 0 0 0 0 0 0 0
150 0 0 0 0 0 0 0 0 0 0 0
70 80 0 0 0 0 0 0 0 0 0 0
134 16 0 0 0 0 0 0 0 0 0 0
86 64 0 0 0 0 0 0 0 0 0 0
69 81 0 0 0 0 0 0 0 0 0 0
75 75 0 0 0 0 0 0 0 0 0 0
38 65 48 0 0 0 0 0 0 0 0 0
39 84 27 0 0 0 0 0 0 0 0 0
43 25 81 1 0 0 0 0 0 0 0 0
29 34 50 15 22 0 0 0 0 0 0 0
31 29 30 39 21 0 0 0 0 0 0 0
27 45 40 29 10 0 0 0 0 0 0 0
37 46 12 3 51 0 0 0 0 0 0 0
29 33 22 35 30 0 0 0 0 0 0 0
23 13 29 55 30 0 0 0 0 0 0 0
24 30 28 9 59 0 0 0 0 0 0 0
29 23 25 13 61 0 0 0 0 0 0 0
21 16 35 17 62 0 0 0 0 0 0 0
18 37 49 20 26 0 0 0 0 0 0 0
14 19 50 37 30 0 0 0 0 0 0 0
25 23 28 0 74 0 0 0 0 0 0 0
47 54 34 0 15 0 0 0 0 0 0 0
51 28 22 0 15 10 24 0 0 0 0 0
41 4 30 0 40 11 23 0 0 0 0 0
24 3 61 0 35 10 17 0 0 0 0 0
15 11 40 0 52 10 23 0 0 0 0 0
14 14 62 0 28 12 20 0 0 0 0 0
2 25 51 0 38 15 19 0 0 0 0 0
31 32 11 0 41 16 19 0 0 0 0 0
23 12 44 0 31 20 20 0 0 0 0 0
22 24 4 0 41 16 19 24 0 0 0 0
26 15 7 0 34 27 18 22 0 0 0 0
13 23 17 0 28 36 21 11 0 0 0 0
21 14 12 0 21 29 20 34 0 0 0 0
24 40 20 0 22 7 19 18 0 0 0 0
27 11 27 0 18 30 24 14 0 0 0 0
27 13 24 0 19 40 8 19 0 0 0 0
26 15 16 0 27 28 15 21 0 0 0 0
23 18 21 0 29 22 22 16 0 0 0 0
44 14 12 0 6 20 20 34 0 0 0 0
19 13 9 0 15 28 33 33 0 0 0 0
27 15 10 0 43 27 18 9 0 0 0 0
23 17 11 0 35 25 26 12 0 0 0 0
18 20 13 0 20 24 28 14 14 0 0 0
11 21 15 0 19 22 16 14 32 0 0 0
19 28 18 0 20 18 18 7 22 0 0 0
23 23 23 0 26 18 18 8 12 0 0 0
23 22 22 0 1 17 17 33 13 0 0 0
21 14 22 0 16 17 17 26 15 0 0 0
19 13 20 0 28 19 16 17 17 0 0 0
15 15 18 0 44 17 18 1 21 0 0 0
15 15 18 0 43 17 18 2 21 0 0 0
6 15 18 0 24 17 18 21 21 9 0 0
15 15 18 0 30 17 18 15 21 3 0 0
15 13 18 0 30 17 18 16 21 4 0 0
15 7 18 0 39 17 18 12 21 5 0 0
14 8 17 0 41 16 17 10 20 6 0 0
16 9 16 0 33 15 16 18 19 7 0 0
16 25 16 0 34 15 16 2 19 8 0 0
16 8 17 0 33 17 16 14 19 10 1 0
16 0 9 0 33 17 16 20 19 10 1 10
16 0 5 0 33 17 16 23 19 10 2 10
16 0 6 0 32 17 16 23 19 10 2 10
16 0 8 0 31 17 16 23 19 10 1 10
16 0 10 0 30 17 16 23 19 10 1 10
16 0 10 0 30 17 16 23 19 10 1 10
15 0 10 0 29 16 15 22 18 12 1 12
15 0 10 0 28 16 15 22 18 14 1 12
15 0 10 0 28 16 15 22 18 14 1 12
15 0 10 0 27 16 15 21 18 14 1 14
15 0 10 0 27 16 15 21 18 14 1 14
15 0 10 0 27 16 15 21 18 14 1 14
15 0 10 0 27 16 15 21 18 14 1 14
15 0 10 0 27 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
15 0 12 0 26 16 15 21 18 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
18 0 12 0 25 15 14 20 17 14 1 14
